cents,names
39.15273521,
39.23121464,
39.27881224,
39.28178514,
39.30152910,
39.36950186,
39.40786216,
39.42760613,
39.43057903,
39.45545976,
39.47817662,
39.50089349,
39.60425365,
39.62697051,
39.67457000,wizard comma
39.67754101,
39.69728497,
39.76525773,
39.80361804,
39.82633490,
39.85121563,
39.87393250,
39.96462212,
40.00000000,
40.00000952,
40.00298242,
40.09069914,
40.13829674,
40.16101360,
40.17665704,
40.19937391,
40.33766112,
40.36037799,
40.39576539,
40.39873829,
40.48645501,
40.53405261,
40.53702551,
40.55676947,
40.57241291,
40.59512978,
40.66310253,
40.68581940,
40.73341699,
40.83975006,
40.85949402,
40.88221088,
41.03614154,
41.05885800,Diesis, minor diesis, augmented comma, enharmonic comma, |7, 0, -3>
41.05885841,minor diesis, diesis
41.05885841,enharmonic-diesis, great diesis [Ellis], minor diesis [Rameau]
41.05886000,minor diesis, diesis, augmented comma
41.05886000,minor diesis, diesis, augmented comma
41.05900000,diminished second (16/15 x 24/25)
41.08157527,
41.10645600,
41.12917287,
41.23550593,
41.25524989,
41.25822279,
41.27796675,
41.30582039,
41.38429982,
41.43189741,
41.45461428,
41.58069130,
41.63126180,
41.65100576,
41.71897852,
41.75733882,
41.78005569,
41.82765328,
41.85037015,
41.91834290,
41.94105977,
41.95670321,
41.97942007,
42.02701767,
42.11473439,
42.15309469,
42.29138191,
42.31409878,
42.35245908,
42.44017580,
42.48777340,
42.49074630,
42.51049026,
42.51346316,
42.52613370,
42.54885056,
42.61682332,
42.63954019,
42.68713778,
42.69011069,
42.70985465,
42.74821495,
42.83593167,
42.88650217,
42.90624613,
43.01257919,
43.01257919,Mathieu superdiesis
43.01258000,Mathieu superdiesis
43.01258000,Mathieu superdiesis
43.03529606,
43.08289365,
43.18922672,
43.20897068,
43.21194358,
43.23168754,
43.25954118,
43.28225804,
43.30497000,29-comma
43.33802060,
43.38561820,
43.40800000,enharmonic diesis (Avicenna)
43.40833500,Avicenna's enharmonic diesis, |-9, 1, 2, 1>
43.40833506,
43.40833506,Avicenna enharmonic diesis
