Cents,Name(s),2,3,5,7,11,13,Numerator,Denominator,Tenney Height,Superparticular,Color Notation,FJS name,Tinas,Tredeks,Moria,Quartertones,Edo step 1,Edo step 2,Edo step 3,Edo step 4,Edo step 5,Edo step 6,Edo step 7,Edo step 8
4.15440356,,-30,7,10,-4,2,,2584248046875,2578054119424,82.46,,,,29.6,2,,,,,,,,,,
4.17712042,,-3,-7,7,-2,1,,859375,857304,39.42,,,,29.7,1,,,,,,,,,,
4.19984000,vulture comma,24,-21,4,,,,122989,122691,66.57,,,,,,,,,,,,,,,
4.30319745,,-31,9,6,1,0,,2152828125,2147483648,62.00,,,,30.6,2,,,,,,,,,,
4.30617035,,18,-4,-8,0,2,,31719424,31640625,49.83,,,,30.6,0,,,,,,,,,,
4.32591431,,-4,-5,3,3,-1,,42875,42768,30.77,,,,30.8,1,,,,,,,,,,
4.39388707,,16,11,-9,-2,-2,,11609505792,11580078125,66.87,,,,31.3,1,,,,,,,,,,
4.43224737,,-10,12,-9,3,1,,2005126893,2000000000,61.80,,,,31.5,1,,,,,,,,,,
4.44444444,,,,,,,,,,,,,,,1,,,1\270,,,,,,,
4.46420153,,19,-2,1,-4,-2,,2621440,2614689,42.64,,,,31.8,1,,,,,,,,,,
4.47984497,,-34,13,4,-1,2,,120570676875,120259084288,73.62,,,,31.9,2,,,,,,,,,,
4.50256000,"keenanisma, undecimal kleisma",-7,-1,1,1,1,,385,384,17.17,Yes,,,,,,,,,,,,,,
4.50256183,,-7,-1,1,1,1,,385,384,17.17,Yes,,,32.0,1,,,,,,,,,,
4.50256183,"undecimal kleisma, Keemun comma",,,,,,,385,384,17.17,Yes,,,,,,,,,,,,,,
4.52527870,,20,-15,-2,3,0,,359661568,358722675,56.84,,,,32.2,0,,,,,,,,,,
4.62863886,,-35,15,0,4,0,,34451725707,34359738368,70.00,,,,32.9,2,,,,,,,,,,
4.66356592,,43,-12,-4,-4,-1,,8796093022208,8772430156875,86.00,,,,33.2,0,,,,,,,,,,
4.69895332,,-32,2,10,2,0,,4306640625,4294967296,64.00,,,,33.4,2,,,,,,,,,,
4.70192622,,17,-11,-4,1,2,,111017984,110716875,53.45,,,,33.5,0,,,,,,,,,,
4.72167018,,-5,-12,7,4,-1,,187578125,187067232,54.96,,,,33.6,1,,,,,,,,,,
4.76268000,gentle comma,2,-1,0,1,-2,1,364,363,17.01,Yes,,,,,,,,,,,,,,
4.76268264,gentle comma,,,,,,,364,363,17.01,Yes,,,,,,,,,,,,,,
4.76927000,gammic comma,-29,-11,20,,,,95600,95337,92.87,,,,,,,,,,,,,,,
4.78964294,,15,4,-5,-1,-2,,2654208,2646875,42.68,,,,34.1,1,,,,,,,,,,
4.80231667,Dudon comma,,,,,,,361,360,16.99,Yes,,,,,,,,,,,,,,
4.82800324,,-11,5,-5,4,1,,6417873,6400000,45.22,,,,34.4,1,,,,,,,,,,
4.85995740,,18,-9,5,-3,-2,,819200000,816903549,59.22,,,,34.6,1,,,,,,,,,,
4.87560084,,-35,6,8,0,2,,34456640625,34359738368,70.00,,,,34.7,2,,,,,,,,,,
4.89831770,,-8,-8,5,2,1,,1684375,1679616,41.36,,,,34.9,1,,,,,,,,,,
4.92527800,minthma,,,,,,,352,351,16.91,Yes,,,,,,,,,,,,,,
4.92528000,minthma comma,5,-3,0,0,1,-1,352,351,16.91,Yes,,,,,,,,,,,,,,
4.93933000,ratwolfsma comma,-1,3,-2,-1,0,1,351,350,16.91,Yes,,,,,,,,,,,,,,
4.93933017,ratwolf comma,,,,,,,351,350,16.91,Yes,,,,,,,,,,,,,,
4.96629046,,12,8,-7,-3,0,,26873856,26796875,49.36,,,,35.3,1,,,,,,,,,,
4.98900733,,39,-6,-10,-1,-1,,549755813888,548173828125,78.00,,,,35.5,0,,,,,,,,,,
5.02736763,,13,-5,-10,4,2,,2379948032,2373046875,62.29,,,,35.8,0,,,,,,,,,,
5.16268195,,-13,11,2,-2,-1,,4428675,4415488,44.15,,,,36.7,2,,,,,,,,,,
5.18539881,,14,-3,-1,0,-2,,16384,16335,28.00,,,,36.9,1,,,,,,,,,,
5.20104225,,-39,12,2,3,2,,551409895575,549755813888,78.00,,,,37.0,2,,,,,,,,,,
5.29173000,parakleisma comma,8,14,-13,,,,215927,215268,60.37,,,,,,,,,,,,,,,
5.29173187,parakleisma,,,,,,,1224440064,1220703125,60.37,,,,,,,,,,,,,,,
5.29407358,,-9,-15,9,3,1,,7369140625,7346640384,65.55,,,,37.7,1,,,,,,,,,,
5.33508604,marveltwin,,,,,,,325,324,16.68,Yes,,,,,,,,,,,,,,
5.33509000,marveltwin comma,-2,-4,2,0,0,1,325,324,16.68,Yes,,,,,,,,,,,,,,
5.33932947,,-16,15,0,-4,1,,157837977,157351936,54.46,,,,38.0,2,,,,,,,,,,
5.36204633,porwell comma,,,,,,,6144,6125,25.17,,,,,,,,,,,,,,,
5.36204633,,11,1,-3,-2,0,,6144,6125,25.17,,,,38.2,1,,,,,,,,,,
5.36205000,porwell comma,11,1,-3,-2,,,6144,6125,25.17,,,,,,,,,,,,,,,
5.36205000,porwell comma,11,1,-3,-2,,,6144,6125,25.17,,,,,,,,,,,,,,,
